group,model,learning_rate,accuracy,auc,f1,f1_0,scaled_mcc,precision,recall,specificity,weighted_score
efficientnet,B0,0.0001,0.896551724137931,0.9857142857142858,0.9032258064516129,0.888888888888889,0.9058397249567138,0.8235294117647058,1.0,0.8,0.9160440860298864
efficientnet,B0,0.0005,0.9310344827586207,0.9714285714285714,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9399558997358117
efficientnet,B1,0.0001,0.9655172413793104,0.9761904761904763,0.962962962962963,0.967741935483871,0.9665125170576119,1.0,0.9285714285714286,1.0,0.9677850266148464
efficientnet,B1,0.0005,0.896551724137931,0.980952380952381,0.888888888888889,0.9032258064516129,0.8971337324695567,0.9230769230769231,0.8571428571428571,0.9333333333333333,0.913350506580074
efficientnet,B2,0.0001,0.9310344827586207,0.980952380952381,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9418606616405736
efficientnet,B2,0.0005,0.896551724137931,0.9666666666666667,0.9032258064516129,0.888888888888889,0.9058397249567138,0.8235294117647058,1.0,0.8,0.9122345622203627
efficientnet,B3,0.0001,0.9655172413793104,0.9952380952380953,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9716912972085388
efficientnet,B3,0.0005,0.8275862068965517,0.9714285714285714,0.8148148148148148,0.8387096774193549,0.8277549478815016,0.8461538461538461,0.7857142857142857,0.8666666666666667,0.856058843688159
efficientnet,B4,0.0001,0.9310344827586207,0.9904761904761905,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9437654235453354
efficientnet,B4,0.0005,0.9655172413793104,1.0,0.962962962962963,0.967741935483871,0.9665125170576119,1.0,0.9285714285714286,1.0,0.9725469313767512
efficientnet,B5,0.0001,0.9310344827586207,0.9904761904761905,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9437654235453354
efficientnet,B5,0.0005,0.9310344827586207,0.9952380952380953,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9447178044977165
efficientnet,B6,0.0001,0.896551724137931,0.980952380952381,0.888888888888889,0.9032258064516129,0.8971337324695567,0.9230769230769231,0.8571428571428571,0.9333333333333333,0.913350506580074
efficientnet,B6,0.0005,0.9655172413793104,1.0,0.962962962962963,0.967741935483871,0.9665125170576119,1.0,0.9285714285714286,1.0,0.9725469313767512
efficientnet,B7,0.0001,0.9310344827586207,0.9904761904761905,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9437654235453354
efficientnet,B7,0.0005,0.9655172413793104,1.0,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9726436781609197
efficientnet,M,0.0001,0.9310344827586207,0.9904761904761905,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9437654235453354
efficientnet,M,0.0005,0.8620689655172413,0.9238095238095239,0.8461538461538461,0.8749999999999999,0.8647726099313322,0.9166666666666666,0.7857142857142857,0.9333333333333333,0.8743609890823887
efficientnet,S,0.0001,0.9655172413793104,0.9857142857142858,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9697865353037768
efficientnet,S,0.0005,0.8620689655172413,0.9619047619047619,0.8461538461538461,0.8749999999999999,0.8647726099313322,0.9166666666666666,0.7857142857142857,0.9333333333333333,0.8819800367014363
inception,Inception,0.0001,0.9310344827586207,0.980952380952381,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9418606616405736
inception,Inception,0.0005,0.9655172413793104,0.9952380952380953,0.962962962962963,0.967741935483871,0.9665125170576119,1.0,0.9285714285714286,1.0,0.9715945504243703
mobilenet,MobileNet,0.0001,0.7241379310344828,0.9,0.6,0.7894736842105263,0.7643402663188406,1.0,0.42857142857142855,1.0,0.7555903763127698
mobilenet,MobileNet,0.0005,0.896551724137931,0.942857142857143,0.888888888888889,0.9032258064516129,0.8971337324695567,0.9230769230769231,0.8571428571428571,0.9333333333333333,0.9057314589610265
resnet,ResNet101,0.0001,0.9655172413793104,0.9904761904761905,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9707389162561577
resnet,ResNet101,0.0005,0.8275862068965517,0.9190476190476191,0.8148148148148148,0.8387096774193549,0.8277549478815016,0.8461538461538461,0.7857142857142857,0.8666666666666667,0.8455826532119686
resnet,ResNet101,0.001,0.6896551724137931,0.8571428571428572,0.6086956521739131,0.7428571428571429,0.6980226324513512,0.7777777777777778,0.5,0.8666666666666667,0.7192746914078115
resnet,ResNet152,0.0001,0.896551724137931,0.9476190476190477,0.896551724137931,0.896551724137931,0.8976190476190475,0.8666666666666667,0.9285714285714286,0.8666666666666667,0.9069786535303777
resnet,ResNet152,0.0005,0.7586206896551724,0.8523809523809525,0.6956521739130435,0.8,0.772602584933029,0.8888888888888888,0.5714285714285714,0.9333333333333333,0.7758512801764395
resnet,ResNet152,0.001,0.6896551724137931,0.7571428571428571,0.5263157894736842,0.7692307692307693,0.736227795630767,1.0,0.35714285714285715,1.0,0.6957144767783741
resnet,ResNet50,0.0001,0.896551724137931,0.9857142857142858,0.896551724137931,0.896551724137931,0.8976190476190475,0.8666666666666667,0.9285714285714286,0.8666666666666667,0.9145977011494253
resnet,ResNet50,0.0005,0.7931034482758621,0.9,0.7692307692307692,0.8125,0.794716943123328,0.8333333333333334,0.7142857142857143,0.8666666666666667,0.8139102321259918
resnet,ResNet50,0.001,0.7586206896551724,0.8142857142857143,0.7586206896551724,0.7586206896551724,0.7595238095238095,0.7333333333333333,0.7857142857142857,0.7333333333333333,0.7699343185550083
vgg,VGG16,0.0001,0.4827586206896552,0.5285714285714286,0.11764705882352941,0.6341463414634146,0.449212549981663,0.3333333333333333,0.07142857142857142,0.8666666666666667,0.4424671999059382
vgg,VGG19,0.0001,0.4482758620689655,0.39047619047619053,0.2,0.5789473684210527,0.42363503417455717,0.3333333333333333,0.14285714285714285,0.7333333333333333,0.40826689102815317
