pid,group,name,slice,class
0,5,1,1,control
1,5,1,2,control
2,5,1,3,control
3,5,1,4,control
4,5,1,5,control
5,5,1,6,control
6,5,1,7,control
7,5,1,8,control
8,5,1,9,control
9,5,1,10,control
10,5,1,11,control
11,5,1,12,control
12,5,1,13,control
13,5,1,14,control
14,5,1,15,control
15,5,1,16,control
16,5,1,17,control
17,5,1,18,control
18,5,1,19,control
19,5,1,20,control
20,5,1,21,control
21,5,1,22,control
22,5,1,23,control
23,5,1,24,control
24,5,1,25,control
25,5,1,26,control
26,5,1,27,control
27,5,1,28,control
28,5,1,29,control
29,5,1,30,control
30,5,2,1,control
31,5,2,2,control
32,5,2,3,control
33,5,2,4,control
34,5,2,5,control
35,5,2,6,control
36,5,2,7,control
37,5,2,8,control
38,5,2,9,control
39,5,2,10,control
40,5,2,11,control
41,5,2,12,control
42,5,2,13,control
43,5,2,14,control
44,5,2,15,control
45,5,2,16,control
46,5,2,17,control
47,5,2,18,control
48,5,2,19,control
49,5,2,20,control
50,5,2,21,control
51,5,2,22,control
52,5,2,23,control
53,5,2,24,control
54,5,2,25,control
55,5,2,26,control
56,5,2,27,control
57,5,2,28,control
58,5,2,29,control
59,5,2,30,control
60,5,3,1,control
61,5,3,2,control
62,5,3,3,control
63,5,3,4,control
64,5,3,5,control
65,5,3,6,control
66,5,3,7,control
67,5,3,8,control
68,5,3,9,control
69,5,3,10,control
70,5,3,11,control
71,5,3,12,control
72,5,3,13,control
73,5,3,14,control
74,5,3,15,control
75,5,3,16,control
76,5,3,17,control
77,5,3,18,control
78,5,3,19,control
79,5,3,20,control
80,5,3,21,control
81,5,3,22,control
82,5,3,23,control
83,5,3,24,control
84,5,3,25,control
85,5,3,26,control
86,5,3,27,control
87,5,3,28,control
88,5,3,29,control
89,5,3,30,control
90,5,4,1,control
91,5,4,2,control
92,5,4,3,control
93,5,4,4,control
94,5,4,5,control
95,5,4,6,control
96,5,4,7,control
97,5,4,8,control
98,5,4,9,control
99,5,4,10,control
100,5,4,11,control
101,5,4,12,control
102,5,4,13,control
103,5,4,14,control
104,5,4,15,control
105,5,4,16,control
106,5,4,17,control
107,5,4,18,control
108,5,4,19,control
109,5,4,20,control
110,5,4,21,control
111,5,4,22,control
112,5,4,23,control
113,5,4,24,control
114,5,4,25,control
115,5,4,26,control
116,5,4,27,control
117,5,4,28,control
118,5,4,29,control
119,5,4,30,control
120,5,5,1,control
121,5,5,2,control
122,5,5,3,control
123,5,5,4,control
124,5,5,5,control
125,5,5,6,control
126,5,5,7,control
127,5,5,8,control
128,5,5,9,control
129,5,5,10,control
130,5,5,11,control
131,5,5,12,control
132,5,5,13,control
133,5,5,14,control
134,5,5,15,control
135,5,5,16,control
136,5,5,17,control
137,5,5,18,control
138,5,5,19,control
139,5,5,20,control
140,5,5,21,control
141,5,5,22,control
142,5,5,23,control
143,5,5,24,control
144,5,5,25,control
145,5,5,26,control
146,5,5,27,control
147,5,5,28,control
148,5,5,29,control
149,5,5,30,control
150,8,3,1,control
151,8,3,2,control
152,8,3,3,control
153,8,3,4,control
154,8,3,5,control
155,8,3,6,control
156,8,3,7,control
157,8,3,8,control
158,8,3,9,control
159,8,3,10,control
160,8,3,11,control
161,8,3,12,control
162,8,3,13,control
163,8,3,14,control
164,8,3,15,control
165,8,3,16,control
166,8,3,17,control
167,8,3,18,control
168,8,3,19,control
169,8,3,20,control
170,8,3,21,control
171,8,3,22,control
172,8,3,23,control
173,8,3,24,control
174,8,3,25,control
175,8,3,26,control
176,8,3,27,control
177,8,3,28,control
178,8,3,29,control
179,8,3,30,control
180,8,4,1,control
181,8,4,2,control
182,8,4,3,control
183,8,4,4,control
184,8,4,5,control
185,8,4,6,control
186,8,4,7,control
187,8,4,8,control
188,8,4,9,control
189,8,4,10,control
190,8,4,11,control
191,8,4,12,control
192,8,4,13,control
193,8,4,14,control
194,8,4,15,control
195,8,4,16,control
196,8,4,17,control
197,8,4,18,control
198,8,4,19,control
199,8,4,20,control
200,8,4,21,control
201,8,4,22,control
202,8,4,23,control
203,8,4,24,control
204,8,4,25,control
205,8,4,26,control
206,8,4,27,control
207,8,4,28,control
208,8,4,29,control
209,8,4,30,control
210,8,5,1,control
211,8,5,2,control
212,8,5,3,control
213,8,5,4,control
214,8,5,5,control
215,8,5,6,control
216,8,5,7,control
217,8,5,8,control
218,8,5,9,control
219,8,5,10,control
220,8,5,11,control
221,8,5,12,control
222,8,5,13,control
223,8,5,14,control
224,8,5,15,control
225,8,5,16,control
226,8,5,17,control
227,8,5,18,control
228,8,5,19,control
229,8,5,20,control
230,8,5,21,control
231,8,5,22,control
232,8,5,23,control
233,8,5,24,control
234,8,5,25,control
235,8,5,26,control
236,8,5,27,control
237,8,5,28,control
238,8,5,29,control
239,8,5,30,control
240,8,6,1,control
241,8,6,2,control
242,8,6,3,control
243,8,6,4,control
244,8,6,5,control
245,8,6,6,control
246,8,6,7,control
247,8,6,8,control
248,8,6,9,control
249,8,6,10,control
250,8,6,11,control
251,8,6,12,control
252,8,6,13,control
253,8,6,14,control
254,8,6,15,control
255,8,6,16,control
256,8,6,17,control
257,8,6,18,control
258,8,6,19,control
259,8,6,20,control
260,8,6,21,control
261,8,6,22,control
262,8,6,23,control
263,8,6,24,control
264,8,6,25,control
265,8,6,26,control
266,8,6,27,control
267,8,6,28,control
268,8,6,29,control
269,8,6,30,control
270,8,7,1,control
271,8,7,2,control
272,8,7,3,control
273,8,7,4,control
274,8,7,5,control
275,8,7,6,control
276,8,7,7,control
277,8,7,8,control
278,8,7,9,control
279,8,7,10,control
280,8,7,11,control
281,8,7,12,control
282,8,7,13,control
283,8,7,14,control
284,8,7,15,control
285,8,7,16,control
286,8,7,17,control
287,8,7,18,control
288,8,7,19,control
289,8,7,20,control
290,8,7,21,control
291,8,7,22,control
292,8,7,23,control
293,8,7,24,control
294,8,7,25,control
295,8,7,26,control
296,8,7,27,control
297,8,7,28,control
298,8,7,29,control
299,8,7,30,control
300,13,6,1,control
301,13,6,2,control
302,13,6,3,control
303,13,6,4,control
304,13,6,5,control
305,13,6,6,control
306,13,6,7,control
307,13,6,8,control
308,13,6,9,control
309,13,6,10,control
310,13,6,11,control
311,13,6,12,control
312,13,6,13,control
313,13,6,14,control
314,13,6,15,control
315,13,6,16,control
316,13,6,17,control
317,13,6,18,control
318,13,6,19,control
319,13,6,20,control
320,13,6,21,control
321,13,6,22,control
322,13,6,23,control
323,13,6,24,control
324,13,6,25,control
325,13,6,26,control
326,13,6,27,control
327,13,6,28,control
328,13,6,29,control
329,13,6,30,control
330,13,8,1,control
331,13,8,2,control
332,13,8,3,control
333,13,8,4,control
334,13,8,5,control
335,13,8,6,control
336,13,8,7,control
337,13,8,8,control
338,13,8,9,control
339,13,8,10,control
340,13,8,11,control
341,13,8,12,control
342,13,8,13,control
343,13,8,14,control
344,13,8,15,control
345,13,8,16,control
346,13,8,17,control
347,13,8,18,control
348,13,8,19,control
349,13,8,20,control
350,13,8,21,control
351,13,8,22,control
352,13,8,23,control
353,13,8,24,control
354,13,8,25,control
355,13,8,26,control
356,13,8,27,control
357,13,8,28,control
358,13,8,29,control
359,13,8,30,control
360,13,10,1,control
361,13,10,2,control
362,13,10,3,control
363,13,10,4,control
364,13,10,5,control
365,13,10,6,control
366,13,10,7,control
367,13,10,8,control
368,13,10,9,control
369,13,10,10,control
370,13,10,11,control
371,13,10,12,control
372,13,10,13,control
373,13,10,14,control
374,13,10,15,control
375,13,10,16,control
376,13,10,17,control
377,13,10,18,control
378,13,10,19,control
379,13,10,20,control
380,13,10,21,control
381,13,10,22,control
382,13,10,23,control
383,13,10,24,control
384,13,10,25,control
385,13,10,26,control
386,13,10,27,control
387,13,10,28,control
388,13,10,29,control
389,13,10,30,control
390,14,2,1,control
391,14,2,2,control
392,14,2,3,control
393,14,2,4,control
394,14,2,5,control
395,14,2,6,control
396,14,2,7,control
397,14,2,8,control
398,14,2,9,control
399,14,2,10,control
400,14,2,11,control
401,14,2,12,control
402,14,2,13,control
403,14,2,14,control
404,14,2,15,control
405,14,2,16,control
406,14,2,17,control
407,14,2,18,control
408,14,2,19,control
409,14,2,20,control
410,14,2,21,control
411,14,2,22,control
412,14,2,23,control
413,14,2,24,control
414,14,2,25,control
415,14,2,26,control
416,14,2,27,control
417,14,2,28,control
418,14,2,29,control
419,14,2,30,control
420,14,3,1,control
421,14,3,2,control
422,14,3,3,control
423,14,3,4,control
424,14,3,5,control
425,14,3,6,control
426,14,3,7,control
427,14,3,8,control
428,14,3,9,control
429,14,3,10,control
430,14,3,11,control
431,14,3,12,control
432,14,3,13,control
433,14,3,14,control
434,14,3,15,control
435,14,3,16,control
436,14,3,17,control
437,14,3,18,control
438,14,3,19,control
439,14,3,20,control
440,14,3,21,control
441,14,3,22,control
442,14,3,23,control
443,14,3,24,control
444,14,3,25,control
445,14,3,26,control
446,14,3,27,control
447,14,3,28,control
448,14,3,29,control
449,14,3,30,control
450,6,1,1,irradiated
451,6,1,2,irradiated
452,6,1,3,irradiated
453,6,1,4,irradiated
454,6,1,5,irradiated
455,6,1,6,irradiated
456,6,1,7,irradiated
457,6,1,8,irradiated
458,6,1,9,irradiated
459,6,1,10,irradiated
460,6,1,11,irradiated
461,6,1,12,irradiated
462,6,1,13,irradiated
463,6,1,14,irradiated
464,6,1,15,irradiated
465,6,1,16,irradiated
466,6,1,17,irradiated
467,6,1,18,irradiated
468,6,1,19,irradiated
469,6,1,20,irradiated
470,6,1,21,irradiated
471,6,1,22,irradiated
472,6,1,23,irradiated
473,6,1,24,irradiated
474,6,1,25,irradiated
475,6,1,26,irradiated
476,6,1,27,irradiated
477,6,1,28,irradiated
478,6,1,29,irradiated
479,6,1,30,irradiated
480,6,2,1,irradiated
481,6,2,2,irradiated
482,6,2,3,irradiated
483,6,2,4,irradiated
484,6,2,5,irradiated
485,6,2,6,irradiated
486,6,2,7,irradiated
487,6,2,8,irradiated
488,6,2,9,irradiated
489,6,2,10,irradiated
490,6,2,11,irradiated
491,6,2,12,irradiated
492,6,2,13,irradiated
493,6,2,14,irradiated
494,6,2,15,irradiated
495,6,2,16,irradiated
496,6,2,17,irradiated
497,6,2,18,irradiated
498,6,2,19,irradiated
499,6,2,20,irradiated
500,6,2,21,irradiated
501,6,2,22,irradiated
502,6,2,23,irradiated
503,6,2,24,irradiated
504,6,2,25,irradiated
505,6,2,26,irradiated
506,6,2,27,irradiated
507,6,2,28,irradiated
508,6,2,29,irradiated
509,6,2,30,irradiated
510,6,3,1,irradiated
511,6,3,2,irradiated
512,6,3,3,irradiated
513,6,3,4,irradiated
514,6,3,5,irradiated
515,6,3,6,irradiated
516,6,3,7,irradiated
517,6,3,8,irradiated
518,6,3,9,irradiated
519,6,3,10,irradiated
520,6,3,11,irradiated
521,6,3,12,irradiated
522,6,3,13,irradiated
523,6,3,14,irradiated
524,6,3,15,irradiated
525,6,3,16,irradiated
526,6,3,17,irradiated
527,6,3,18,irradiated
528,6,3,19,irradiated
529,6,3,20,irradiated
530,6,3,21,irradiated
531,6,3,22,irradiated
532,6,3,23,irradiated
533,6,3,24,irradiated
534,6,3,25,irradiated
535,6,3,26,irradiated
536,6,3,27,irradiated
537,6,3,28,irradiated
538,6,3,29,irradiated
539,6,3,30,irradiated
540,6,4,1,irradiated
541,6,4,2,irradiated
542,6,4,3,irradiated
543,6,4,4,irradiated
544,6,4,5,irradiated
545,6,4,6,irradiated
546,6,4,7,irradiated
547,6,4,8,irradiated
548,6,4,9,irradiated
549,6,4,10,irradiated
550,6,4,11,irradiated
551,6,4,12,irradiated
552,6,4,13,irradiated
553,6,4,14,irradiated
554,6,4,15,irradiated
555,6,4,16,irradiated
556,6,4,17,irradiated
557,6,4,18,irradiated
558,6,4,19,irradiated
559,6,4,20,irradiated
560,6,4,21,irradiated
561,6,4,22,irradiated
562,6,4,23,irradiated
563,6,4,24,irradiated
564,6,4,25,irradiated
565,6,4,26,irradiated
566,6,4,27,irradiated
567,6,4,28,irradiated
568,6,4,29,irradiated
569,6,4,30,irradiated
570,6,5,1,irradiated
571,6,5,2,irradiated
572,6,5,3,irradiated
573,6,5,4,irradiated
574,6,5,5,irradiated
575,6,5,6,irradiated
576,6,5,7,irradiated
577,6,5,8,irradiated
578,6,5,9,irradiated
579,6,5,10,irradiated
580,6,5,11,irradiated
581,6,5,12,irradiated
582,6,5,13,irradiated
583,6,5,14,irradiated
584,6,5,15,irradiated
585,6,5,16,irradiated
586,6,5,17,irradiated
587,6,5,18,irradiated
588,6,5,19,irradiated
589,6,5,20,irradiated
590,6,5,21,irradiated
591,6,5,22,irradiated
592,6,5,23,irradiated
593,6,5,24,irradiated
594,6,5,25,irradiated
595,6,5,26,irradiated
596,6,5,27,irradiated
597,6,5,28,irradiated
598,6,5,29,irradiated
599,6,5,30,irradiated
600,9,2,1,irradiated
601,9,2,2,irradiated
602,9,2,3,irradiated
603,9,2,4,irradiated
604,9,2,5,irradiated
605,9,2,6,irradiated
606,9,2,7,irradiated
607,9,2,8,irradiated
608,9,2,9,irradiated
609,9,2,10,irradiated
610,9,2,11,irradiated
611,9,2,12,irradiated
612,9,2,13,irradiated
613,9,2,14,irradiated
614,9,2,15,irradiated
615,9,2,16,irradiated
616,9,2,17,irradiated
617,9,2,18,irradiated
618,9,2,19,irradiated
619,9,2,20,irradiated
620,9,2,21,irradiated
621,9,2,22,irradiated
622,9,2,23,irradiated
623,9,2,24,irradiated
624,9,2,25,irradiated
625,9,2,26,irradiated
626,9,2,27,irradiated
627,9,2,28,irradiated
628,9,2,29,irradiated
629,9,2,30,irradiated
630,9,3,1,irradiated
631,9,3,2,irradiated
632,9,3,3,irradiated
633,9,3,4,irradiated
634,9,3,5,irradiated
635,9,3,6,irradiated
636,9,3,7,irradiated
637,9,3,8,irradiated
638,9,3,9,irradiated
639,9,3,10,irradiated
640,9,3,11,irradiated
641,9,3,12,irradiated
642,9,3,13,irradiated
643,9,3,14,irradiated
644,9,3,15,irradiated
645,9,3,16,irradiated
646,9,3,17,irradiated
647,9,3,18,irradiated
648,9,3,19,irradiated
649,9,3,20,irradiated
650,9,3,21,irradiated
651,9,3,22,irradiated
652,9,3,23,irradiated
653,9,3,24,irradiated
654,9,3,25,irradiated
655,9,3,26,irradiated
656,9,3,27,irradiated
657,9,3,28,irradiated
658,9,3,29,irradiated
659,9,3,30,irradiated
660,9,4,1,irradiated
661,9,4,2,irradiated
662,9,4,3,irradiated
663,9,4,4,irradiated
664,9,4,5,irradiated
665,9,4,6,irradiated
666,9,4,7,irradiated
667,9,4,8,irradiated
668,9,4,9,irradiated
669,9,4,10,irradiated
670,9,4,11,irradiated
671,9,4,12,irradiated
672,9,4,13,irradiated
673,9,4,14,irradiated
674,9,4,15,irradiated
675,9,4,16,irradiated
676,9,4,17,irradiated
677,9,4,18,irradiated
678,9,4,19,irradiated
679,9,4,20,irradiated
680,9,4,21,irradiated
681,9,4,22,irradiated
682,9,4,23,irradiated
683,9,4,24,irradiated
684,9,4,25,irradiated
685,9,4,26,irradiated
686,9,4,27,irradiated
687,9,4,28,irradiated
688,9,4,29,irradiated
689,9,4,30,irradiated
690,9,5,1,irradiated
691,9,5,2,irradiated
692,9,5,3,irradiated
693,9,5,4,irradiated
694,9,5,5,irradiated
695,9,5,6,irradiated
696,9,5,7,irradiated
697,9,5,8,irradiated
698,9,5,9,irradiated
699,9,5,10,irradiated
700,9,5,11,irradiated
701,9,5,12,irradiated
702,9,5,13,irradiated
703,9,5,14,irradiated
704,9,5,15,irradiated
705,9,5,16,irradiated
706,9,5,17,irradiated
707,9,5,18,irradiated
708,9,5,19,irradiated
709,9,5,20,irradiated
710,9,5,21,irradiated
711,9,5,22,irradiated
712,9,5,23,irradiated
713,9,5,24,irradiated
714,9,5,25,irradiated
715,9,5,26,irradiated
716,9,5,27,irradiated
717,9,5,28,irradiated
718,9,5,29,irradiated
719,9,5,30,irradiated
720,13,7,1,irradiated
721,13,7,2,irradiated
722,13,7,3,irradiated
723,13,7,4,irradiated
724,13,7,5,irradiated
725,13,7,6,irradiated
726,13,7,7,irradiated
727,13,7,8,irradiated
728,13,7,9,irradiated
729,13,7,10,irradiated
730,13,7,11,irradiated
731,13,7,12,irradiated
732,13,7,13,irradiated
733,13,7,14,irradiated
734,13,7,15,irradiated
735,13,7,16,irradiated
736,13,7,17,irradiated
737,13,7,18,irradiated
738,13,7,19,irradiated
739,13,7,20,irradiated
740,13,7,21,irradiated
741,13,7,22,irradiated
742,13,7,23,irradiated
743,13,7,24,irradiated
744,13,7,25,irradiated
745,13,7,26,irradiated
746,13,7,27,irradiated
747,13,7,28,irradiated
748,13,7,29,irradiated
749,13,7,30,irradiated
750,13,9,1,irradiated
751,13,9,2,irradiated
752,13,9,3,irradiated
753,13,9,4,irradiated
754,13,9,5,irradiated
755,13,9,6,irradiated
756,13,9,7,irradiated
757,13,9,8,irradiated
758,13,9,9,irradiated
759,13,9,10,irradiated
760,13,9,11,irradiated
761,13,9,12,irradiated
762,13,9,13,irradiated
763,13,9,14,irradiated
764,13,9,15,irradiated
765,13,9,16,irradiated
766,13,9,17,irradiated
767,13,9,18,irradiated
768,13,9,19,irradiated
769,13,9,20,irradiated
770,13,9,21,irradiated
771,13,9,22,irradiated
772,13,9,23,irradiated
773,13,9,24,irradiated
774,13,9,25,irradiated
775,13,9,26,irradiated
776,13,9,27,irradiated
777,13,9,28,irradiated
778,13,9,29,irradiated
779,13,9,30,irradiated
780,14,1,1,irradiated
781,14,1,2,irradiated
782,14,1,3,irradiated
783,14,1,4,irradiated
784,14,1,5,irradiated
785,14,1,6,irradiated
786,14,1,7,irradiated
787,14,1,8,irradiated
788,14,1,9,irradiated
789,14,1,10,irradiated
790,14,1,11,irradiated
791,14,1,12,irradiated
792,14,1,13,irradiated
793,14,1,14,irradiated
794,14,1,15,irradiated
795,14,1,16,irradiated
796,14,1,17,irradiated
797,14,1,18,irradiated
798,14,1,19,irradiated
799,14,1,20,irradiated
800,14,1,21,irradiated
801,14,1,22,irradiated
802,14,1,23,irradiated
803,14,1,24,irradiated
804,14,1,25,irradiated
805,14,1,26,irradiated
806,14,1,27,irradiated
807,14,1,28,irradiated
808,14,1,29,irradiated
809,14,1,30,irradiated
810,14,4,1,irradiated
811,14,4,2,irradiated
812,14,4,3,irradiated
813,14,4,4,irradiated
814,14,4,5,irradiated
815,14,4,6,irradiated
816,14,4,7,irradiated
817,14,4,8,irradiated
818,14,4,9,irradiated
819,14,4,10,irradiated
820,14,4,11,irradiated
821,14,4,12,irradiated
822,14,4,13,irradiated
823,14,4,14,irradiated
824,14,4,15,irradiated
825,14,4,16,irradiated
826,14,4,17,irradiated
827,14,4,18,irradiated
828,14,4,19,irradiated
829,14,4,20,irradiated
830,14,4,21,irradiated
831,14,4,22,irradiated
832,14,4,23,irradiated
833,14,4,24,irradiated
834,14,4,25,irradiated
835,14,4,26,irradiated
836,14,4,27,irradiated
837,14,4,28,irradiated
838,14,4,29,irradiated
839,14,4,30,irradiated
840,14,5,1,irradiated
841,14,5,2,irradiated
842,14,5,3,irradiated
843,14,5,4,irradiated
844,14,5,5,irradiated
845,14,5,6,irradiated
846,14,5,7,irradiated
847,14,5,8,irradiated
848,14,5,9,irradiated
849,14,5,10,irradiated
850,14,5,11,irradiated
851,14,5,12,irradiated
852,14,5,13,irradiated
853,14,5,14,irradiated
854,14,5,15,irradiated
855,14,5,16,irradiated
856,14,5,17,irradiated
857,14,5,18,irradiated
858,14,5,19,irradiated
859,14,5,20,irradiated
860,14,5,21,irradiated
861,14,5,22,irradiated
862,14,5,23,irradiated
863,14,5,24,irradiated
864,14,5,25,irradiated
865,14,5,26,irradiated
866,14,5,27,irradiated
867,14,5,28,irradiated
868,14,5,29,irradiated
869,14,5,30,irradiated
